title,budget,opening_theaters
Star Wars: Episode VIII - The Last Jedi,"$317,000,000 ","4,232"
The Fate of the Furious,"$250,000,000 ","4,310"
Wonder Woman,"$149,000,000 ","4,165"
Guardians of the Galaxy Vol. 2,"$200,000,000 ","4,347"
Beauty and the Beast,"$160,000,000 ","4,210"
It,"$35,000,000 ","4,103"
Spider-Man: Homecoming,"$175,000,000 ","4,348"
Thor: Ragnarok,"$180,000,000 ","4,080"
Logan,"$97,000,000 ","4,071"
Despicable Me 3,"$80,000,000 ","4,529"
Girls Trip,"$19,000,000 ","2,591"
Anna,N/A,"2,114"
The Art of Self-Defense,N/A,7
Rogue One: A Star Wars Story,"$200,000,000 ","4,157"
1917,N/A,11
Sing,"$75,000,000 ","4,022"
La La Land,"$30,000,000 ",5
Wonder,N/A,"3,096"
The Giant Spider Invasion,N/A,N/A
Junglee,N/A,70
K-12,N/A,N/A
DanTDM Presents The Contest,N/A,684
Bolshoi Ballet: The Sleeping Beauty,N/A,355
Sword of Trust,N/A,2
Lucy in the Sky,N/A,37
National Theatre Live: Fleabag,N/A,N/A
P Storm,N/A,30
The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,N/A,288
A Silent Voice: The Movie,N/A,N/A
You Are Here: A Come From Away Story,N/A,N/A
Line Walker 2: Invisible Spy,N/A,17
Ask Dr. Ruth,N/A,104
Aquarela,N/A,5
The Chambermaid,N/A,1
Sonchiriya,N/A,70
ECCO,N/A,155
Josh Groban Bridges from Madison Square Garden,N/A,N/A
The Lumber Baron,N/A,11
Plácido Domingo Gala,N/A,217
Ophelia,N/A,58
"Cyrano, My Love",N/A,N/A
Greener Grass,N/A,2
QT8: The First Eight,N/A,N/A
Yardie,N/A,77
Jim Allison: Breakthrough,N/A,3
Loro,N/A,1
Britt-Marie Was Here,N/A,3
Buñuel in the Labyrinth of the Turtles,N/A,2
The Death of Dick Long,N/A,30
High on the Hog,N/A,5
The Quiet One,N/A,6
One Cut of the Dead,N/A,2
Midnight Diner,N/A,13
Night School,"$29,000,000 ","3,010"
Making Waves: The Art of Cinematic Sound,N/A,3
The Sower,N/A,2
Grass,N/A,1
The Etruscan Smile,N/A,4
The Dead Center,N/A,10
Before Stonewall,N/A,1
The Return of Martin Guerre,N/A,2
Black Mother,N/A,N/A
Hollywould,N/A,2
The Royal Wedding: Prince Harry and Meghan Markle,N/A,194
Wings of Desire,N/A,1
The Snowman Trek,N/A,N/A
Jumanji/Jumanji: Welcome to the Jungle,N/A,335
Over the Limit,N/A,1
Detour,N/A,1
Divide and Conquer: The Story of Roger Ailes,N/A,15
A German Youth,N/A,1
Dying to Survive,N/A,2
Jihadists,N/A,1
The Day After,N/A,1
Wanda,N/A,1
Far from Vietnam,N/A,1
A Man Vanishes,N/A,2
Tosca's Kiss,N/A,1
I Am Not A Witch,N/A,2
Around India with a Movie Camera,N/A,1
Rat Film,N/A,2
Night of 7 Years,N/A,4
To Die Is Hard,N/A,1
Le joli mai,N/A,3
Realms,N/A,3
Nostalgia de la luz,N/A,1
The Breadwinner,N/A,1
30 Years of Garbage: The Garbage Pail Kids Story,N/A,2
Bad Lucky Goat,N/A,3
Midget Zombie Takeover,"$2,000 ",1
The Legend of Hallowaiian,N/A,N/A
Higher Power,N/A,3
The Ghosts of Johnson Woods,N/A,N/A
Henchmen,N/A,3
TVTV: Video Revolutionaries,N/A,1
33 & Beyond: The Royal Art of Freemasonry,N/A,N/A
Two Men Went to War,N/A,1
Under the Turban,N/A,N/A
BOSTON: An American Running Story,N/A,N/A
Gangsterdam,N/A,N/A
Columbus,N/A,2
Bronx Gothic,N/A,1
Invisible Hands,N/A,1
Beauty and the Beholder,N/A,1
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",N/A,N/A
Guy,N/A,2
I Still See You,N/A,10
The Thousand Faces of Dunjia,N/A,27
Altered Perception,N/A,N/A
That Way Madness Lies...,N/A,2
Tournament,N/A,N/A
Marrowbone,N/A,7
The Fencer,N/A,2
Permanent,N/A,8
From the East,N/A,1
The Lost Village,N/A,1
An Actor Prepares,N/A,25
Signature Move,N/A,1
In Search of Fellini,N/A,3
A Wizard's Tale,N/A,10
Finding Happiness,N/A,N/A
10x10,N/A,10
Forever,N/A,1
Last Men in Aleppo,N/A,1
West Of The Jordan River,N/A,1
The Swan,N/A,1
Charged: The Eduardo Garcia Story,N/A,N/A
Escapes,N/A,1
The Cage Fighter,N/A,2
The Pact,N/A,10
The Paris Opera,N/A,4
Kingsman: The Golden Circle,"$104,000,000 ","4,003"
The Second Time Around,N/A,N/A
Shadowman,N/A,1
At First Light,N/A,5
Nana,N/A,1
Straight Into a Storm,N/A,1
ACORN and the Firestorm,N/A,1
Tom of Finland,N/A,1
Hot to Trot,N/A,1
Félicité,N/A,1
Living Proof,N/A,N/A
Song Of Granite,N/A,1
Game Changers,N/A,1
Brimstone & Glory,N/A,1
The Citizen,N/A,N/A
Under The Wire,N/A,2
Followers,N/A,N/A
Porto,N/A,1
Fourplay,N/A,2
Nelly,N/A,1
The Family,N/A,1
The Party's Just Beginning,N/A,10
Armed,N/A,10
Frank and Ava,N/A,1
Miss Kiet's Children,N/A,2
The Peacemaker,N/A,1
Nocturama,N/A,3
Cocote,N/A,1
American Dresser,N/A,11
Stella's Last Weekend,N/A,2
Status Update,N/A,75
Social Animals,N/A,75
The Other Side of Everything,N/A,1
Wonderstruck,N/A,4
Kangaroo,N/A,2
Weightless,N/A,2
Kickboxer: Retaliation,N/A,10
Never Look Away,N/A,N/A
The Texture of Falling,N/A,1
Edward II,N/A,1
An L.A. Minute,N/A,3
The Long Dumb Road,N/A,1
Are We Not Cats,N/A,2
Dolores,N/A,1
Notes on an Appearance,N/A,1
12 Days,N/A,1
Intersection,N/A,2
I Am MLK Jr.,N/A,N/A
Women Like Us,N/A,N/A
One Last Thing,N/A,N/A
Postcards from London,N/A,1
Cuban Food Stories,N/A,1
"Distant Voices, Still Lives",N/A,1
In Searching,N/A,2
Chavela,N/A,4
Aida's Secrets,N/A,1
Bill Nye: Science Guy,N/A,1
Duck Butter,N/A,2
The Quake,N/A,7
Of Fathers and Sons,N/A,1
School of Life,N/A,N/A
Defining Hope,N/A,N/A
On the Beach at Night Alone,N/A,1
An Evening with Beverly Luff Linn,N/A,16
A Whale of a Tale,N/A,N/A
Shoah: Four Sisters,N/A,1
Ex Libris: New York Public Library,N/A,1
Calling All Earthlings,N/A,N/A
The Lodgers,N/A,17
This is Congo,N/A,1
In Echo Park,N/A,2
In the Land of Pomegranates,N/A,1
Painless,N/A,2
Spiral,N/A,2
The Clovehitch Killer,N/A,26
Tall: The American Skyscraper and Louis Sullivan,N/A,1
Summer of '67,N/A,1
