title,world_revenue,distributor
Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889 ",Walt Disney Studios Motion Pictures
The Fate of the Furious,"$1,236,005,118 ",Universal Pictures
Wonder Woman,"$821,847,012 ",Warner Bros.
Guardians of the Galaxy Vol. 2,"$863,756,051 ",Walt Disney Studios Motion Pictures
Beauty and the Beast,"$1,263,521,126 ",Walt Disney Studios Motion Pictures
It,"$700,381,748 ",Warner Bros.
Spider-Man: Homecoming,"$880,166,924 ",Sony Pictures Releasing
Thor: Ragnarok,"$853,977,126 ",Walt Disney Studios Motion Pictures
Logan,"$619,021,436 ",Twentieth Century Fox
Despicable Me 3,"$1,034,799,409 ",Universal Pictures
Girls Trip,"$140,552,359 ",Universal Pictures
Anna,"$31,329,947 ",Lionsgate
The Art of Self-Defense,"$2,414,269 ",Bleecker Street Media
Rogue One: A Star Wars Story,"$1,056,057,273 ",Walt Disney Studios Motion Pictures
1917,"$291,389,074 ",Universal Pictures
Sing,"$634,151,679 ",Universal Pictures
La La Land,"$446,171,671 ",Lionsgate
Wonder,"$305,937,718 ",Lionsgate
The Giant Spider Invasion,"$293,053 ",Fathom Events
Junglee,"$4,033,587 ",Viva Pictures Distribution
K-12,"$359,377 ",Abramorama
DanTDM Presents The Contest,"$765,363 ",Fathom Events
Bolshoi Ballet: The Sleeping Beauty,"$311,368 ",Fathom Events
Sword of Trust,"$323,369 ",IFC Films
Lucy in the Sky,"$325,950 ",Fox Searchlight Pictures
National Theatre Live: Fleabag,"$6,460,606 ",Fathom Events
P Storm,"$117,991,727 ",CMC Pictures
The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979 ",Fathom Events
A Silent Voice: The Movie,"$333,984 ",Fathom Events
You Are Here: A Come From Away Story,"$318,885 ",Fathom Events
Line Walker 2: Invisible Spy,"$99,482,027 ",Well Go USA Entertainment
Ask Dr. Ruth,"$318,230 ",Magnolia Pictures
Aquarela,"$596,097 ",Sony Pictures Classics
The Chambermaid,"$164,531 ",Kino Lorber
Sonchiriya,"$135,413 ",PackYourBag Films
ECCO,"$86,858 ",Citadel Film Group
Josh Groban Bridges from Madison Square Garden,"$315,173 ",Trafalgar Releasing
The Lumber Baron,"$88,336 ",Indican Pictures
Plácido Domingo Gala,"$311,246 ",Fathom Events
Ophelia,"$229,405 ",IFC Films
"Cyrano, My Love","$5,982,358 ",Roadside Attractions
Greener Grass,"$71,838 ",IFC Films
QT8: The First Eight,"$85,719 ",Fathom Events
Yardie,"$1,551,163 ",Rialto Pictures
Jim Allison: Breakthrough,"$87,984 ",Dada Films
Loro,"$35,613 ",IFC Films
Britt-Marie Was Here,"$168,862 ",Cohen Media Group
Buñuel in the Labyrinth of the Turtles,"$195,976 ",GKIDS
The Death of Dick Long,"$36,856 ",A24
High on the Hog,"$45,696 ",Indican Pictures
The Quiet One,"$37,010 ",IFC Films
One Cut of the Dead,"$27,590,180 ",Variance Films
Midnight Diner,"$3,412,771 ",Well Go USA Entertainment
Night School,"$103,105,878 ",Universal Pictures
Making Waves: The Art of Cinematic Sound,"$63,998 ",Matson Films
The Sower,"$433,112 ",Film Movement
Grass,"$53,503 ",The Cinema Guild
The Etruscan Smile,"$8,213 ",Lightyear Entertainment
The Dead Center,"$8,320 ",Arrow Films
Before Stonewall,"$18,724 ",First Run
The Return of Martin Guerre,"$18,603 ",Cohen Media Group
Black Mother,"$25,919 ",Grasshopper Film
Hollywould,"$11,888 ",Indican Pictures
The Royal Wedding: Prince Harry and Meghan Markle,"$50,264 ",Fathom Events
Wings of Desire,"$123,830 ",Janus Films
The Snowman Trek,"$51,743 ",Fathom Events
Jumanji/Jumanji: Welcome to the Jungle,"$49,381 ",Fathom Events
Over the Limit,"$3,243 ",Film Movement
Detour,"$16,172 ",Janus Films
Divide and Conquer: The Story of Roger Ailes,"$38,510 ",Magnolia Pictures
A German Youth,"$2,343 ",Big World Pictures
Dying to Survive,"$6,752 ",China Lion Film Distribution
Jihadists,"$2,104 ",Cinema Libre Studio
The Day After,"$166,022 ",The Cinema Guild
Wanda,"$51,713 ",Janus Films
Far from Vietnam,"$8,132 ",Icarus Films
A Man Vanishes,"$6,201 ",Icarus Films
Tosca's Kiss,"$18,236 ",Icarus Films
I Am Not A Witch,"$182,462 ",Film Movement
Around India with a Movie Camera,"$11,568 ",Icarus Films
Rat Film,"$35,195 ",The Cinema Guild
Night of 7 Years,"$3,716,820 ",CJ Entertainment
To Die Is Hard,"$5,129 ",Driving With Our Eyes Shut
Le joli mai,"$55,038 ",Icarus Films
Realms,"$22,443 ",The Film Arcade
Nostalgia de la luz,"$177,634 ",Icarus Films
The Breadwinner,"$2,426,907 ",GathrFilms
30 Years of Garbage: The Garbage Pail Kids Story,"$27,739 ",Indican Pictures
Bad Lucky Goat,"$5,088 ",Film Movement
Midget Zombie Takeover,"$11,006 ",Driving With Our Eyes Shut
The Legend of Hallowaiian,"$53,738 ",Viva Pictures Distribution
Higher Power,$528 ,Magnolia Pictures
The Ghosts of Johnson Woods,"$3,000 ",Driving With Our Eyes Shut
Henchmen,"$1,469 ",Entertainment One
TVTV: Video Revolutionaries,$812 ,First Run
33 & Beyond: The Royal Art of Freemasonry,"$16,533 ",GathrFilms
Two Men Went to War,"$1,227 ",Indican Pictures
Under the Turban,"$1,190 ",GathrFilms
BOSTON: An American Running Story,"$19,499 ",GathrFilms
Gangsterdam,"$2,697,522 ",Distrib Films
Columbus,"$1,093,077 ",Independent
Bronx Gothic,"$27,151 ",Grasshopper Film
Invisible Hands,"$1,034 ",First Run
Beauty and the Beholder,"$1,368 ",Reel One Entertainment
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$30,380 ",GathrFilms
Guy,"$1,257,937 ",Distrib Films
I Still See You,"$1,620,637 ",Lionsgate
The Thousand Faces of Dunjia,"$46,263,237 ",Well Go USA Entertainment
Altered Perception,"$1,259 ",Cinedigm Entertainment Group
That Way Madness Lies...,"$1,447 ",First Run
Tournament,"$4,942 ",GathrFilms
Marrowbone,"$12,294,931 ",Magnolia Pictures
The Fencer,"$599,537 ",CFI Releasing
Permanent,"$12,847 ",Magnolia Pictures
From the East,"$8,540 ",Icarus Films
The Lost Village,"$1,780 ",First Run
An Actor Prepares,"$5,891 ",Gravitas Ventures
Signature Move,"$31,551 ",Newcity
In Search of Fellini,"$25,269 ",AMBI Distribution
A Wizard's Tale,"$5,487,261 ",Blue Fox Entertainment
Finding Happiness,"$1,841 ",GathrFilms
10x10,"$68,260 ",Vertical Entertainment
Forever,"$31,502 ",Icarus Films
Last Men in Aleppo,"$14,637 ",Grasshopper Film
West Of The Jordan River,"$1,926 ",Kino Lorber
The Swan,"$62,716 ",Synergetic Distribution
Charged: The Eduardo Garcia Story,"$15,920 ",GathrFilms
Escapes,"$17,778 ",Grasshopper Film
The Cage Fighter,"$3,392 ",IFC Films
The Pact,"$1,855,647 ",Sony Pictures Releasing
The Paris Opera,"$781,039 ",Film Movement
Kingsman: The Golden Circle,"$410,902,662 ",Twentieth Century Fox
The Second Time Around,"$3,837 ",First Run
Shadowman,"$13,498 ",Film Movement
At First Light,"$26,338 ",Entertainment One
Nana,"$2,784 ",Fun Academy Motion Pictures
Straight Into a Storm,"$2,684 ",Abramorama
ACORN and the Firestorm,"$2,621 ",First Run
Tom of Finland,"$15,483 ",GathrFilms
Hot to Trot,"$3,133 ",First Run
Félicité,"$265,495 ",Strand Releasing
Living Proof,"$9,512 ",GathrFilms
Song Of Granite,"$21,349 ",Oscilloscope
Game Changers,"$3,142 ",Ammo Content
Brimstone & Glory,"$36,036 ",Oscilloscope
The Citizen,"$3,495 ",ArtMattan Productions
Under The Wire,"$23,897 ",Abramorama
Followers,"$3,350 ",Cinedigm Entertainment Group
Porto,"$90,849 ",Kino Lorber
Fourplay,"$3,550 ",Parade Deck Films
Nelly,"$3,751 ",Cinema Libre Studio
The Family,"$3,696 ",Film Movement
The Party's Just Beginning,"$4,371 ",The Orchard
Armed,"$3,948 ",GVN Releasing
Frank and Ava,"$18,829 ",Hannover House
Miss Kiet's Children,"$9,384 ",Icarus Films
The Peacemaker,"$4,400 ",Central Square Films
Nocturama,"$321,768 ",Grasshopper Film
Cocote,"$4,224 ",Grasshopper Film
American Dresser,"$3,895 ",Cinedigm Entertainment Group
Stella's Last Weekend,"$4,215 ",Paladin
Status Update,"$416,178 ",Vertical Entertainment
Social Animals,"$5,007 ",Vertical Entertainment
The Other Side of Everything,"$4,685 ",Icarus Films
Wonderstruck,"$3,285,916 ",Roadside Attractions
Kangaroo,"$12,626 ",Abramorama
Weightless,"$4,461 ",Great Point Media
Kickboxer: Retaliation,"$101,690 ",Well Go USA Entertainment
Never Look Away,"$5,083,864 ",Sony Pictures Classics
The Texture of Falling,"$5,010 ",BloodSweatHoney
Edward II,"$11,055 ",Film Movement
An L.A. Minute,"$5,004 ",Strand Releasing
The Long Dumb Road,"$4,667 ",The Film Arcade
Are We Not Cats,"$5,518 ",Cleopatra Films
Dolores,"$555,309 ",PBS Distribution
Notes on an Appearance,"$5,065 ",Grasshopper Film
12 Days,"$722,049 ",Distrib Films
Intersection,"$5,116 ",Indican Pictures
I Am MLK Jr.,"$5,918 ",GathrFilms
Women Like Us,"$25,859 ",GathrFilms
One Last Thing,"$6,232 ",Fathom Events
Postcards from London,"$15,548 ",Strand Releasing
Cuban Food Stories,"$5,434 ",First Run
"Distant Voices, Still Lives","$33,301 ",Arrow Films
In Searching,"$5,210 ",Indican Pictures
Chavela,"$272,842 ",Music Box Films
Aida's Secrets,"$98,468 ",Music Box Films
Bill Nye: Science Guy,"$74,909 ",PBS Distribution
Duck Butter,"$6,877 ",The Orchard
The Quake,"$13,747,547 ",Magnolia Pictures
Of Fathers and Sons,"$12,579 ",Kino Lorber
School of Life,"$14,880,497 ",Distrib Films
Defining Hope,"$15,788 ",GathrFilms
On the Beach at Night Alone,"$429,159 ",The Cinema Guild
An Evening with Beverly Luff Linn,"$27,359 ",The Film Arcade
A Whale of a Tale,"$6,747 ",Fine Line Media
Shoah: Four Sisters,"$7,323 ",Cohen Media Group
Ex Libris: New York Public Library,"$198,239 ",Zipporah Films
Calling All Earthlings,"$6,756 ",Carpe Stella
The Lodgers,"$916,727 ",Epic Pictures Group
This is Congo,"$8,905 ",Abramorama
In Echo Park,"$7,072 ",Indican Pictures
In the Land of Pomegranates,"$7,014 ",First Run
Painless,"$7,082 ",Indican Pictures
Spiral,"$8,190 ",Cohen Media Group
The Clovehitch Killer,"$167,994 ",IFC Films
Tall: The American Skyscraper and Louis Sullivan,"$7,216 ",The Cinema Guild
Summer of '67,"$8,941 ",Mainstreet Productions
Blood Feast,"$8,708 ",Hannover House
Step Up: High Water,"$9,005 ",Fathom Events
Spettacolo,"$32,494 ",Grasshopper Film
El Mar La Mar,"$9,065 ",The Cinema Guild
Legend of the Mountain,"$7,640 ",Kino Lorber
Dark River,"$239,182 ",FilmRise
The Crime of Monsieur Lange,"$38,002 ",Rialto Pictures
Un traductor,"$78,075 ",Film Movement
Beauty and the Dogs,"$167,723 ",Oscilloscope
Please Stand By,"$406,732 ",Magnolia Pictures
Zoo Wars,"$8,998 ",Parade Deck Films
Survivors Guide To Prison,"$8,982 ",Gravitas Ventures
